al_ContractNumber;al_amount;al_issue_M_group;sex;is_client_local;has_snils;zaim_cards;age;has_foreign_currency_credits;court_counts;official_count;has_resold_credits;cred_line_state;potreb_tot;potreb_active_tot_group;potreb_other_states_tot;pdl_tot;pdl_closed_tot;pdl_active_to_total_group;pdl_delay5_cnt;pdl_delay30_cnt;pdl_delay60_cnt;pdl_delay90_cnt;pdl_delay_more_cnt;pdl_prolong_cnt;avg_payout_period_pdl;avg_pdl_full_cost;avg_pdl_amount;pdl_delay5_avg;pdl_delay30_avg;pdl_delay60_avg;pdl_delay90_avg;pdl_delay_more_avg;res_npl_15;is_test
20076-001-17;5000;1;2;0;1;0;3;0;0;0;1;2;1;3;0;1;0;2;0;1;1;1;0;1;1;2;1;0;1;1;1;0;0;0
21425-001-17;5000;1;2;0;1;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21371-001-17;3000;1;1;1;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21905-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
21960-001-17;5000;1;2;0;1;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
23489-001-17;5000;1;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
23560-001-17;5000;1;1;1;1;0;3;0;0;0;0;2;1;2;1;1;0;2;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0
25170-001-17;5000;1;2;1;0;0;3;0;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
25117-001-17;3000;1;1;0;0;0;3;0;0;0;0;2;1;2;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
25926-001-17;4000;1;1;1;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
27409-001-17;5000;1;1;1;1;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
27580-001-17;5000;1;1;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
27735-001-17;5000;1;2;0;1;0;2;0;0;0;0;2;1;3;0;1;0;2;1;0;0;0;0;1;1;2;1;1;0;0;0;0;0;0
28210-001-17;5000;1;1;1;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
28861-001-17;3000;1;1;0;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
29855-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;2;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
31527-001-17;3000;1;1;0;1;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
32452-001-17;5000;1;1;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
32479-001-17;5000;1;1;0;1;0;3;0;0;0;1;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
32373-001-17;5000;1;2;0;0;0;3;0;0;1;0;2;1;2;0;1;1;3;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0
33156-001-17;5000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
34416-001-17;5000;1;2;0;0;0;2;0;0;0;0;2;1;3;0;1;0;2;0;1;1;0;0;1;1;2;1;0;1;1;0;0;0;0
33873-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
35097-001-17;5000;1;1;0;0;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
36358-001-17;5000;1;1;1;0;0;2;0;1;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
37682-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;1;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
37740-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
37869-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
37149-001-17;3000;1;1;1;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
38560-001-17;5000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
38491-001-17;5000;1;1;1;1;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
38287-001-17;5000;1;2;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
38042-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
39226-001-17;5000;1;1;1;0;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
39030-001-17;5000;1;2;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
39405-001-17;3000;1;1;1;0;0;1;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
41870-001-17;3000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
41657-001-17;5000;1;1;0;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
42249-001-17;5000;1;1;0;0;0;3;0;0;0;1;2;1;2;1;1;0;2;0;1;0;1;0;1;1;2;1;0;1;0;1;0;0;0
41924-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
43432-001-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
42562-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
45554-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
46573-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
48106-001-17;5000;1;1;0;1;0;3;0;0;1;0;2;1;3;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
47725-001-17;5000;1;2;1;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
47524-001-17;4000;1;1;0;1;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
48221-001-17;3000;1;1;0;0;0;3;0;1;0;0;2;1;2;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
48464-001-17;3000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
48233-001-17;5000;1;2;1;1;0;1;0;0;0;0;2;1;1;0;1;1;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0
48926-001-17;5000;1;1;0;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
50438-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
50986-001-17;3000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
50971-001-17;3000;1;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
50340-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
51002-001-17;5000;1;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
52512-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;1;2;1;1;0;3;0;0;0;0;0;1;1;2;1;0;0;0;0;0;1;0
52182-001-17;3000;1;2;1;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
53050-001-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
53656-001-17;3000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
54114-001-17;3000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
53372-001-17;3000;1;1;1;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
54686-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;1;1;1;0;1;0;0;0;1;0;2;1;0;1;0;0;0;0;0
55868-001-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
56489-001-17;5000;1;2;1;0;0;3;0;0;1;0;2;1;2;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0
56268-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
57449-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;1;1;3;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
57643-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
58862-001-17;3000;1;2;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
58665-001-17;4000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
58926-001-17;5000;1;1;1;0;0;3;0;0;1;0;2;1;3;0;1;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0
58313-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
59707-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
59732-001-17;4000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0
60856-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
61654-001-17;5000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
61719-001-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
62553-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
62116-001-17;5000;1;1;0;1;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
63408-001-17;5000;1;1;0;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
62739-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
62951-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0
63330-001-17;5000;1;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
65344-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
66350-001-17;3000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
66888-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
67466-001-17;5000;1;1;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
68001-001-17;3000;1;1;0;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
68443-001-17;5000;1;1;0;0;0;1;0;0;0;0;2;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0
68829-001-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
69340-001-17;5000;1;1;1;0;0;2;0;0;0;1;2;1;1;0;1;0;2;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0
70346-001-17;5000;1;2;0;0;0;3;0;0;1;0;2;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0
71461-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
71156-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
70853-001-17;5000;1;1;1;0;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
71779-001-17;5000;1;2;0;0;0;2;0;0;0;1;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
72678-001-17;3000;1;2;1;0;0;1;0;0;0;0;2;1;1;0;1;0;2;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0
73728-001-17;5000;1;2;1;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
73438-001-17;5000;1;1;0;0;0;2;0;0;0;1;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
74221-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
74356-001-17;5000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
75131-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
75357-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
75287-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
75128-001-17;5000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
75317-001-17;5000;1;2;1;0;0;3;0;0;1;0;2;1;2;1;1;1;1;1;1;0;0;0;1;0;2;1;0;0;0;0;0;0;0
76546-001-17;3000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
77684-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;1;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
77601-001-17;3000;1;2;1;0;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
77478-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
80204-001-17;5000;1;1;1;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
81229-001-17;3000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
80880-001-17;3000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
82185-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;1;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
82722-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
82893-001-17;3000;1;1;0;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
82474-001-17;3000;1;2;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
86305-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
86855-001-17;3000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
88024-001-17;3000;1;2;1;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
87652-001-17;3000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;1;1;3;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0
88595-001-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
89803-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
90326-001-17;5000;1;2;0;1;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
92033-001-17;5000;1;2;1;1;0;3;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
92742-001-17;5000;1;1;0;0;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
93958-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
95078-001-17;3000;1;1;1;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
94665-001-17;3000;1;2;0;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
95172-001-17;3000;1;1;1;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
96318-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
96502-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
98818-001-17;5000;1;1;0;0;0;2;0;0;1;1;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
98734-001-17;5000;1;2;0;1;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
99032-001-17;5000;1;1;0;0;0;2;0;0;0;0;2;1;3;0;1;0;3;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0
99408-001-17;5000;1;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
103852-001-17;5000;1;1;0;0;0;1;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
103792-001-17;5000;1;2;0;1;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
103624-001-17;5000;1;2;1;1;0;2;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
105623-001-17;5000;1;1;0;0;0;1;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
105186-001-17;3000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
106531-001-17;5000;1;1;0;0;0;3;0;0;0;0;2;0;3;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0
108024-001-17;5000;1;1;1;0;0;3;0;0;0;0;2;1;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
108763-001-17;3000;1;1;1;0;1;3;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
109697-001-17;3000;1;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
109821-001-17;5000;1;1;0;0;0;1;0;0;0;0;2;0;3;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0
111623-001-17;3000;1;1;0;0;0;3;0;0;0;0;2;1;3;0;1;1;1;0;0;0;0;0;1;1;2;1;0;0;0;0;0;1;0
